pickup_hour,duracion_promedio_min
0,14.975459233856958
1,14.052457078711038
2,13.36812023264684
3,13.60118497529787
4,15.709049146698112
5,17.029754349856123
6,16.33549119602171
7,15.559072619710195
8,15.727919504880326
9,15.805611112880408
10,15.970490039683778
11,15.79802180950763
12,15.69683951899064
13,16.45283145926954
14,17.350670494317573
15,17.597577543081492
16,17.75534970189817
17,16.78164513879535
18,15.016305549360574
19,14.504090971802775
20,14.182034302222206
21,14.20874201087523
22,14.635587201913733
23,15.039726164874583
