pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,75234,6.450762832116879,51.03625160076125,17.65949349603858,14.975459233857045
1,50480,5.841380820685857,47.06114301015223,16.24512345941889,14.052457078711074
2,34960,5.48740603862596,44.51026554975749,15.363593446730755,13.368120232646852
3,22940,6.589217016858316,47.85801973771127,16.570615893307586,13.601184975297887
4,15274,8.301551585753591,50.30351262993152,19.611496119430576,15.709049146698069
5,17491,5.553233276569543,33.254845015504564,18.714853129203416,17.029754349856123
6,39414,5.230257000474742,31.122555099399076,17.791216695480987,16.3354911960217
7,80855,4.533871859574145,30.365391282366065,15.938916014486859,15.559072619710149
8,113481,4.006846601164616,30.11132789975939,15.841186231666644,15.727919504880404
9,125596,3.8059229622094084,32.459133766821964,15.754750126857155,15.805611112880511
10,135404,3.6258671005785432,32.68338103021851,15.811603464749732,15.970490039683671
11,146725,3.3635966488454683,31.237998466247625,15.753461087994001,15.79802180950762
12,159886,3.220741483421944,29.032039388599785,15.839668091320613,15.696839518990744
13,165327,3.5488219838269948,35.772422429327676,16.039542689849085,16.452831459269575
14,178003,3.6624894086157935,35.09596382160056,17.27165987566087,17.350670494317544
15,183973,3.6573187381645877,33.85669127117733,17.407911318473946,17.59757754308149
16,184948,3.6511969453269266,34.32426309762894,17.537714175640637,17.755349701898137
17,200283,3.454926533852451,40.279240043490965,16.734676382041936,16.781645138795383
18,206258,3.2973143677952192,32.06112846299506,15.458202790010679,15.016305549360505
19,178788,3.527147432546429,32.90517368656819,15.376706631118651,14.504090971802803
20,155539,3.413367750162599,33.3500106138861,14.704925096645104,14.182034302222133
21,155889,3.741677546838472,34.940538090174705,15.14713079977291,14.208742010875204
22,138229,4.090685128799267,37.145561432639255,15.699065810983992,14.635587201913754
23,104625,4.503368487369232,39.332982764126456,16.07408599688172,15.039726164874445
