pickup_hour,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
0,75234,14.975459233856958,41.7432776192181,28.579594996942674,22.06110728536377,6.916666666666667,11.25,17.883333333333333,15.85,21.2,31.44
1,50480,14.052457078711038,46.01044491210346,25.905752179080988,18.778518799850108,6.616666666666666,10.566666666666666,16.433333333333334,15.48,20.47,28.92
2,34960,13.36812023264684,43.4513878803615,24.60399141876431,16.645570385617724,6.366666666666666,10.1,15.65,15.48,19.68,28.08
3,22940,13.60118497529787,45.560926901604766,26.7159886660854,19.79769535478494,6.183333333333334,10.066666666666666,16.133333333333333,15.48,20.2,30.18
4,15274,15.709049146698112,48.26100205428761,32.48351708786169,26.00924479843172,6.466666666666667,11.35,19.133333333333333,15.7,22.4,39.2
5,17491,17.029754349856123,33.27139599982083,37.56400262992403,31.624457860717953,5.95,11.183333333333334,24.0,15.3,22.2,53.0
6,39414,16.33549119602171,31.42829217876508,30.15387146699167,26.64997808250421,6.083333333333333,9.85,18.416666666666668,14.25,18.84,32.2
7,80855,15.559072619710195,29.99449556215681,26.553679549811015,23.530220395963493,6.566666666666666,10.433333333333334,16.933333333333334,14.28,18.48,26.78
8,113481,15.727919504880326,29.731808842073853,25.545238409953523,20.39489946326781,7.116666666666666,11.45,18.333333333333332,14.63,19.2,26.88
9,125596,15.805611112880408,32.04414331635035,25.904247109780183,20.534949870041242,7.15,11.75,19.083333333333332,14.6,19.3,27.37
10,135404,15.970490039683778,33.49009681419477,26.063932897107602,21.571331432112146,7.233333333333333,11.95,19.4,14.6,19.32,27.72
11,146725,15.79802180950763,32.56535750220416,25.47602978360852,19.997051380186416,7.383333333333334,12.016666666666667,19.3,14.6,19.25,26.9
12,159886,15.69683951899064,30.0872435375515,25.73118046608163,20.38683973396621,7.433333333333334,12.083333333333334,19.133333333333333,14.6,19.25,26.88
13,165327,16.45283145926954,37.29721908822345,26.50757305219303,22.037240498616132,7.483333333333333,12.133333333333333,19.35,14.7,19.25,27.26
14,178003,17.350670494317573,36.64881931752993,27.66275877372783,23.252516684509644,7.783333333333333,12.583333333333334,20.433333333333334,14.9,19.32,28.5
15,183973,17.597577543081492,35.988589428088225,27.407625249356624,23.30073129623102,7.733333333333333,12.466666666666667,20.366666666666667,14.9,19.32,27.9
16,184948,17.75534970189817,36.59095429972899,29.759033025498166,24.018454380865847,7.65,12.433333333333334,20.6,16.6,21.48,30.25
17,200283,16.78164513879535,41.72700593510253,28.157131009621185,21.45691646498271,7.683333333333334,12.266666666666667,19.6,16.8,21.48,29.04
18,206258,15.016305549360574,31.48986713510502,26.851208728873758,19.380397825708588,7.383333333333334,11.666666666666666,18.15,16.61,21.0,28.2
19,178788,14.504090971802775,32.10168772153076,27.67212603754164,20.782591314579868,7.116666666666666,11.283333333333333,17.75,16.5,20.9,28.6
20,155539,14.182034302222206,32.1586294490972,27.29101884414761,20.923612020276913,7.1,11.2,17.5,15.73,20.47,28.8
21,155889,14.20874201087523,32.69750201484782,27.46525271186475,20.991364810304407,7.216666666666667,11.3,17.5,16.13,20.52,28.92
22,138229,14.635587201913733,34.708392532067506,28.38647215851914,21.37372246850537,7.283333333333333,11.55,18.083333333333332,16.3,21.1,30.6
23,104625,15.039726164874583,36.429960757814214,29.598283775387877,23.226616302991673,7.183333333333334,11.633333333333333,18.45,16.3,21.36,32.28
