pickup_hour,pickup_dow,total_viajes
0,1,19810
1,1,15609
2,1,11508
3,1,7208
4,1,3672
5,1,1555
6,1,2475
7,1,4022
8,1,6372
9,1,10133
10,1,14878
11,1,18290
12,1,20654
13,1,21733
14,1,21734
15,1,20975
16,1,21250
17,1,20723
18,1,19492
19,1,16043
20,1,14581
21,1,13786
22,1,11394
23,1,8806
0,2,11320
1,2,9022
2,2,6886
3,2,5339
4,2,3899
5,2,3512
6,2,6730
7,2,12178
8,2,16414
9,2,17679
10,2,18601
11,2,20058
12,2,22213
13,2,23108
14,2,25756
15,2,26362
16,2,25730
17,2,27314
18,2,27703
19,2,22910
20,2,19939
21,2,17688
22,2,13280
23,2,9593
0,3,6072
1,3,2466
2,3,1218
3,3,878
4,3,1104
5,3,2925
6,3,7506
7,3,16501
8,3,22192
9,3,23029
10,3,23406
11,3,24861
12,3,25197
13,3,26072
14,3,28861
15,3,29729
16,3,29079
17,3,33130
18,3,34111
19,3,28290
20,3,25353
21,3,26375
22,3,19596
23,3,11152
0,4,6371
1,4,2542
2,4,1566
3,4,1051
4,4,1202
5,4,3081
6,4,7682
7,4,17449
8,4,24134
9,4,24631
10,4,23685
11,4,24934
12,4,26874
13,4,27542
14,4,29762
15,4,30761
16,4,30580
17,4,34687
18,4,36780
19,4,31349
20,4,28750
21,4,28045
22,4,23139
23,4,14194
0,5,5401
1,5,2499
2,5,1399
3,5,1004
4,5,1014
5,5,2429
6,5,6275
7,5,13641
8,5,19665
9,5,20077
10,5,19722
11,5,20164
12,5,21472
13,5,22002
14,5,24256
15,5,26173
16,5,26382
17,5,30640
18,5,32963
19,5,28223
20,5,25415
21,5,26344
22,5,23312
23,5,15729
0,6,8435
1,6,4600
2,6,2516
3,6,1650
4,6,1364
5,6,2460
6,6,5979
7,6,12554
8,6,16853
9,6,17795
10,6,19100
11,6,19323
12,6,20423
13,6,21597
14,6,24067
15,6,24850
16,6,24962
17,6,27239
18,6,28171
19,6,25923
20,6,20633
21,6,21387
22,6,23397
23,6,21093
0,7,17825
1,7,13742
2,7,9867
3,7,5810
4,7,3019
5,7,1529
6,7,2767
7,7,4510
8,7,7851
9,7,12252
10,7,16012
11,7,19095
12,7,23053
13,7,23273
14,7,23567
15,7,25123
16,7,26965
17,7,26550
18,7,27038
19,7,26050
20,7,20868
21,7,22264
22,7,24111
23,7,24058
