pickup_hour,duracion_promedio_min
0,14.790131381091108
1,13.33645478622778
2,12.789950611083233
3,13.277301422579685
4,15.739780287957533
5,16.679644225176958
6,16.04442265176734
7,15.342799164647662
8,15.409334706975597
9,15.61874480134158
10,16.025343630937133
11,16.246130207336137
12,16.716810692739205
13,17.389551674700716
14,18.339478425065113
15,18.39627335367574
16,18.48177019284452
17,17.191703461637523
18,15.849464952798048
19,15.227467343464145
20,14.777779011315868
21,14.442231596162623
22,14.923854131009032
23,15.073816919756792
