pickup_hour,tarifa_promedio
0,26.815544299229156
1,23.836814415437086
2,23.205950666889848
3,24.54516928265658
4,32.72561966497657
5,37.90149389326765
6,30.074005006581093
7,26.04819020581944
8,25.031081570107112
9,25.4637497309317
10,25.964233492880563
11,25.636949812425577
12,26.300359368982445
13,27.493916348364
14,28.374152770878165
15,28.011637931033494
16,30.042870354397675
17,28.181861251777008
18,26.933554866491274
19,27.4853357671195
20,27.044568078300127
21,26.85549733740103
22,27.642109500486416
23,28.588429715790507
