pickup_hour,pickup_dow,total_viajes
0,1,25009
1,1,20260
2,1,15040
3,1,9644
4,1,4955
5,1,1862
6,1,2897
7,1,4290
8,1,6853
9,1,11105
10,1,15359
11,1,18350
12,1,20200
13,1,21539
14,1,21417
15,1,21197
16,1,22821
17,1,23677
18,1,22037
19,1,16778
20,1,14933
21,1,13815
22,1,12279
23,1,12143
0,2,5528
1,2,2468
2,2,1412
3,2,1059
4,2,1159
5,2,2298
6,2,5608
7,2,11842
8,2,16442
9,2,17224
10,2,17730
11,2,17680
12,2,19165
13,2,19649
14,2,21278
15,2,22563
16,2,22088
17,2,23889
18,2,25388
19,2,20494
20,2,19117
21,2,17555
22,2,12721
23,2,7933
0,3,3969
1,3,1659
2,3,868
3,3,573
4,3,894
5,3,2150
6,3,6036
7,3,13024
8,3,18421
9,3,18636
10,3,17841
11,3,18373
12,3,19615
13,3,19885
14,3,21751
15,3,22144
16,3,22449
17,3,26908
18,3,31122
19,3,27474
20,3,25370
21,3,25201
22,3,18663
23,3,10305
0,4,4677
1,4,1961
2,4,1096
3,4,720
4,4,1046
5,4,2497
6,4,6590
7,4,15355
8,4,21980
9,4,21304
10,4,20519
11,4,20995
12,4,22415
13,4,22619
14,4,25062
15,4,26043
16,4,26337
17,4,30931
18,4,34129
19,4,29026
20,4,26402
21,4,27502
22,4,23294
23,4,14323
0,5,8266
1,5,3645
2,5,2079
3,5,1496
4,5,1643
5,5,3491
6,5,8967
7,5,20054
8,5,27342
9,5,27174
10,5,26202
11,5,26801
12,5,28814
13,5,29505
14,5,32345
15,5,33191
16,5,35057
17,5,40493
18,5,45767
19,5,38681
20,5,35633
21,5,37038
22,5,34302
23,5,23553
0,6,9721
1,6,5144
2,6,2899
3,6,1911
4,6,1746
5,6,2509
6,6,5792
7,6,12538
8,6,16820
9,6,18044
10,6,18926
11,6,19804
12,6,21616
13,6,21960
14,6,24266
15,6,25161
16,6,24905
17,6,27522
18,6,30102
19,6,27700
20,6,21904
21,6,22859
22,6,23818
23,6,22569
0,7,20416
1,7,17723
2,7,12444
3,7,7724
4,7,4138
5,7,1814
6,7,2859
7,7,4619
8,7,7650
9,7,11946
10,7,15881
11,7,19008
12,7,21388
13,7,22712
14,7,22997
15,7,24049
16,7,26056
17,7,27015
18,7,28819
19,7,28579
20,7,23280
21,7,23160
22,7,26831
23,7,27643
