pickup_hour,duracion_promedio_min
0,15.017241721294312
1,14.763163346534785
2,13.179758891484918
3,13.283935491661996
4,15.345237553299675
5,16.654436873433593
6,17.255684889609668
7,16.238788852225017
8,16.071647991698878
9,16.375685104413584
10,16.992892835587707
11,17.1854768543539
12,17.69116426224009
13,18.206261431184206
14,19.533132971778723
15,20.19154661468904
16,19.573077382202843
17,18.2742989110134
18,16.24780998601449
19,15.15122928660969
20,14.632180567872275
21,14.754684522693468
22,15.344292987527188
23,15.981701615500231
