pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,102512,4.515441767658299,35.93386776411074,16.272796922327828,15.01724172129442
1,67417,5.717288735589059,42.29314336996977,15.417506554107975,14.76316334653473
2,41088,4.862848267508653,44.37050020906114,14.644437885124326,13.17975889148496
3,30363,4.62230510411977,43.5126622050526,14.581008164650282,13.283935491662026
4,21967,6.491571090553521,48.63290546546669,17.869517708580773,15.345237553299622
5,21280,5.529146863272992,31.160586667700713,18.853513597779177,16.65443687343359
6,46864,4.706685156796866,25.22220322317406,17.95428752480925,17.255684889609643
7,91522,4.325206614113788,26.234437857091503,15.842920215658587,16.23878885222494
8,129139,3.901799528805143,27.836823906896857,15.680194325142258,16.071647991698903
9,142606,3.5478050602508446,28.23344157114866,15.711638735379069,16.3756851044136
10,150224,3.675595543878871,33.51492717894162,16.55841941186475,16.99289283558771
11,162824,3.382630247931059,29.59095432651725,16.7542567499776,17.18547685435405
12,180847,3.632692957465028,31.16707962871512,17.628900781857133,17.691164262240175
13,186624,3.7210750998723614,31.089983854361577,18.66792495666762,18.206261431184306
14,199140,3.9239653312814906,34.291884829423104,19.814230123138817,19.5331329717786
15,204703,4.004343815023252,34.370016404095274,19.829197237181702,20.19154661468892
16,209428,3.8966112999887383,31.190003130356935,19.54828856799973,19.57307738220302
17,232020,3.9356895867112227,35.376017498946084,18.401032628502218,18.27429891101353
18,243347,3.746952170361074,32.87875018455961,17.210883667930005,16.24780998601451
19,224412,3.625741922572218,32.65498537423084,15.941477822980465,15.151229286609755
20,209742,3.717935430866033,31.178126400004608,15.972370517963554,14.63218056787223
21,207997,3.9858243010324106,34.928451838955084,16.145438875373188,14.754684522693378
22,189933,4.156473398012126,34.10023278645862,16.849975903067648,15.34429298752718
23,143877,4.510276780454528,35.470683459411475,17.533309577092684,15.981701615500228
