pickup_hour,tarifa_promedio
0,28.228698493834788
1,25.509290980019916
2,24.152071407710363
3,25.483154826598238
4,30.641562798743543
5,35.86537640977459
6,31.88956085694795
7,27.30774524158085
8,25.785787175058893
9,26.32943031849937
10,26.677653836936326
11,26.578761054881088
12,27.04957123977686
13,27.840538408778393
14,29.165114191020493
15,29.410696667854427
16,30.734349466164158
17,28.987501249891572
18,27.560785791482683
19,27.38231587437369
20,26.641944436497305
21,26.798041414057952
22,27.8119041977951
23,29.50346754519431
