pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
161,158528,2.741148945296746,15.489050094199976,24.70133004895016
237,151889,2.126963967107563,12.412165243478293,20.521364944136526
132,149511,16.224072409387944,43.19656691926794,83.17142899182383
236,142227,3.5552522376201376,12.595333984874033,21.049541718520064
162,120346,3.0908262011200964,14.941055789141263,24.137491981453337
230,118192,3.0947828110193405,17.278928353864917,27.88595632530076
186,111615,2.304434260628051,17.292392450238125,25.11322465618407
142,111464,2.1836765233617963,13.106345845594458,21.75476665111608
138,105368,9.741688463290542,30.21364424366671,67.84722515374587
170,100234,2.3417555919149224,14.973299479218621,23.881854061495908
239,99105,2.22118026335704,12.879653229739542,21.74585903839354
163,98333,2.518949996440657,14.96636073342624,24.448396774226378
234,94209,2.0747999660329715,14.316581218354875,22.361506968548607
68,91553,2.5220390374974047,17.456415409653374,25.520914115321084
48,90076,5.071947022514322,14.209814860044082,23.661034459789473
79,88856,3.332485031961825,14.114306105759075,22.53047875213834
249,85001,3.017407677556735,14.253774857550688,22.564415124527855
141,80406,2.01769420192524,12.061417887554002,20.682362385891707
164,79981,3.129663545091959,14.982505636755308,24.44076355634459
107,73124,3.0172709370384525,13.546299208650124,22.026023603741645
