pickup_hour,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
0,102512,15.017241721294312,34.13326159667943,28.228698493834788,21.711267151349183,7.533333333333333,11.916666666666666,18.266666666666666,16.3,21.3,30.94
1,67417,14.763163346534785,40.6875611290822,25.509290980019916,18.823088585101853,7.033333333333333,10.983333333333333,16.583333333333332,15.6,19.97,28.08
2,41088,13.179758891484918,40.940394080199056,24.152071407710363,16.510691381795525,6.7,10.316666666666666,15.5,15.48,19.66,27.24
3,30363,13.283935491661996,39.87068830146627,25.483154826598238,18.352615376829956,6.533333333333333,10.3,15.916666666666666,15.48,19.8,28.5
4,21967,15.345237553299675,44.47840526138486,30.641562798743543,24.219864843151722,6.85,11.466666666666667,18.516666666666666,15.53,21.6,35.38
5,21280,16.654436873433593,30.878428010183573,35.86537640977459,29.82607684406588,6.416666666666667,11.266666666666667,21.7,15.45,21.93,49.45
6,46864,17.255684889609668,28.300821811606884,31.88956085694795,28.54466855233346,6.366666666666666,10.566666666666666,19.966666666666665,14.28,19.38,35.28
7,91522,16.238788852225017,27.908696409609423,27.30774524158085,23.77123676974947,6.733333333333333,10.816666666666666,17.8,14.3,18.9,27.7
8,129139,16.071647991698878,28.5349051046342,25.785787175058893,20.583523596816278,7.25,11.866666666666667,18.916666666666668,14.64,19.32,27.14
9,142606,16.375685104413584,29.18371250554242,26.32943031849937,20.718162330387734,7.45,12.383333333333333,20.0,14.7,19.5,28.0
10,150224,16.992892835587707,34.68655222580575,26.677653836936326,20.719217121717403,7.6,12.666666666666666,20.783333333333335,14.87,19.7,28.7
11,162824,17.1854768543539,31.41920761059058,26.578761054881088,20.32961088034996,7.933333333333334,13.183333333333334,21.3,15.1,20.13,28.88
12,180847,17.69116426224009,32.58328929927216,27.04957123977686,20.90526750798168,8.083333333333334,13.45,21.833333333333332,15.12,20.16,29.4
13,186624,18.206261431184206,32.73909067151918,27.840538408778393,22.13815456964837,8.183333333333334,13.633333333333333,22.3,15.12,20.16,29.75
14,199140,19.533132971778723,36.23690359646717,29.165114191020493,23.887964494317803,8.45,14.1,23.4,15.3,20.79,30.8
15,204703,20.19154661468904,37.349219643016596,29.410696667854427,24.48505902910192,8.45,14.1,23.8,15.32,20.7,30.8
16,209428,19.573077382202843,34.07915895460246,30.734349466164158,24.456694258878386,8.25,13.833333333333334,23.2,17.1,22.32,32.0
17,232020,18.2742989110134,36.516963621036375,28.987501249891572,21.604125903785924,8.133333333333333,13.416666666666666,21.8,17.2,22.3,30.72
18,243347,16.24780998601449,33.24162646787132,27.560785791482683,20.019429160075518,7.733333333333333,12.483333333333333,19.666666666666668,16.8,21.48,29.1
19,224412,15.15122928660969,32.38829322311308,27.38231587437369,20.224101638987424,7.383333333333334,11.85,18.466666666666665,16.5,21.13,29.0
20,209742,14.632180567872275,30.252250584547262,26.641944436497305,20.028303098993465,7.383333333333334,11.716666666666667,18.0,15.7,20.47,28.2
21,207997,14.754684522693468,33.858815169553395,26.798041414057952,19.631076150641405,7.55,11.833333333333334,18.05,16.15,20.52,28.9
22,189933,15.344292987527188,33.16315795886117,27.8119041977951,20.66653136247489,7.8,12.266666666666667,18.8,16.32,21.35,30.13
23,143877,15.981701615500231,34.25117532111393,29.50346754519431,22.739042512363177,7.85,12.566666666666666,19.483333333333334,16.32,21.83,32.28
