pickup_hour,pickup_dow,total_viajes
0,1,31372
1,1,24505
2,1,13773
3,1,13304
4,1,8225
5,1,3580
6,1,4635
7,1,6161
8,1,9465
9,1,15195
10,1,20775
11,1,24249
12,1,27757
13,1,29627
14,1,31123
15,1,29493
16,1,29305
17,1,29662
18,1,29074
19,1,26140
20,1,24785
21,1,22013
22,1,17378
23,1,11355
0,2,5257
1,2,2425
2,2,1492
3,2,1025
4,2,1401
5,2,2734
6,2,7087
7,2,14288
8,2,19552
9,2,19504
10,2,18852
11,2,19456
12,2,20538
13,2,21342
14,2,23010
15,2,23558
16,2,23490
17,2,25957
18,2,26086
19,2,22313
20,2,21815
21,2,21356
22,2,15796
23,2,9567
0,3,5054
1,3,2171
2,3,1015
3,3,685
4,3,924
5,3,2362
6,3,7207
7,3,15863
8,3,22751
9,3,23099
10,3,21965
11,3,21613
12,3,22931
13,3,23428
14,3,25415
15,3,26576
16,3,26092
17,3,29692
18,3,32238
19,3,27115
20,3,27474
21,3,29978
22,3,24443
23,3,12815
0,4,6033
1,4,2458
2,4,1338
3,4,854
4,4,1107
5,4,2514
6,4,7055
7,4,15910
8,4,22093
9,4,22170
10,4,21069
11,4,21997
12,4,24029
13,4,24043
14,4,26910
15,4,27922
16,4,30450
17,4,36402
18,4,37719
19,4,33553
20,4,31929
21,4,33003
22,4,28142
23,4,15403
0,5,7345
1,5,3213
2,5,1698
3,5,1154
4,5,1421
5,5,3173
6,5,7981
7,5,16692
8,5,23051
9,5,23088
10,5,21496
11,5,23201
12,5,25181
13,5,25593
14,5,27108
15,5,28531
16,5,29770
17,5,34250
18,5,37774
19,5,34946
20,5,34485
21,5,35934
22,5,32744
23,5,23920
0,6,17278
1,6,8701
2,6,4638
3,6,2887
4,6,2900
5,6,4232
6,6,8665
7,6,16152
8,6,21677
9,6,22615
10,6,24113
11,6,26001
12,6,28732
13,6,29104
14,6,32550
15,6,34320
16,6,34096
17,6,39204
18,6,42569
19,6,41734
20,6,34176
21,6,33200
22,6,35531
23,6,34397
0,7,30173
1,7,23944
2,7,17134
3,7,10454
4,7,5989
5,7,2685
6,7,4234
7,7,6456
8,7,10550
9,7,16935
10,7,21954
11,7,26307
12,7,31679
13,7,33487
14,7,33024
15,7,34303
16,7,36225
17,7,36853
18,7,37887
19,7,38611
20,7,35078
21,7,32513
22,7,35899
23,7,36420
