pickup_hour,duracion_promedio_min
0,15.203511258554707
1,13.887946287010353
2,13.572961632160858
3,13.252724739127578
4,15.07216346070757
5,16.610553566169045
6,16.466679924958065
7,16.37815076382667
8,16.540965163327737
9,16.783556630778698
10,17.14819958539129
11,17.855104389399145
12,18.281743004666556
13,19.20682949037828
14,19.92612584442588
15,20.451450114956195
16,20.35937442560137
17,18.422470383654126
18,16.71474645531842
19,15.507118149516335
20,15.125666584423094
21,15.133879912688263
22,15.409073534503912
23,15.97865593175729
