pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,97363,4.790738266856344,42.22184868984468,14.686940851739932,15.203511258554686
1,62021,4.110110472283511,39.15536672318019,13.387678518593178,13.887946287010388
2,40911,4.616553866050105,66.30375558016591,12.867748218106568,13.57296163216087
3,25715,4.092569722588212,39.154215529004524,13.117358010698604,13.252724739127599
4,19287,5.60239265286875,39.68387378172528,16.23190247159655,15.07216346070757
5,21503,6.0540937977028255,34.374478548551714,17.853113674313388,16.610553566169063
6,50283,5.755793220186675,43.37072071444621,18.899019051367723,16.466679924958097
7,99259,4.828401495778002,25.373032162979335,18.231796661717787,16.378150763826607
8,131729,4.476985985124277,26.319929884982656,18.242091760551506,16.540965163327677
9,141366,4.007518867063451,30.758168593241567,17.981466479909756,16.78355663077872
10,150021,3.5587101811787942,26.643010295139977,18.061686074027048,17.148199585391342
11,163219,3.8413981994854494,30.801252372081663,18.86683709759602,17.855104389399152
12,179858,3.99929465388046,30.919507855556365,19.562288661066674,18.28174300466658
13,185968,4.262523097105916,34.47050002422471,20.15189626788843,19.206829490378208
14,196682,4.156894338627196,34.31408928282712,20.602759646953107,19.926125844425872
15,201961,4.36082139568047,37.84551573977122,20.774857000827883,20.451450114956177
16,206738,4.5229962782370725,39.61420058888885,20.678549576732443,20.35937442560132
17,230025,4.0312938719855405,31.780155303968357,19.53556688234853,18.422470383653966
18,241371,3.846867203903351,32.07137973730539,17.777462407595493,16.714746455318505
19,212485,3.604159774801089,31.286467748716962,15.531402210257955,15.50711814951637
20,202650,3.5618429547375374,31.312172554639268,15.464731559199505,15.125666584423099
21,208143,3.717037457501674,36.03937393889799,15.592700857050856,15.133879912688213
22,197345,4.0219466109062205,33.1446892750344,16.237231696366944,15.40907353450394
23,148177,4.690120539822166,44.156943970063054,16.910869191782027,15.97865593175727
