pickup_hour,tarifa_promedio
0,27.586617503568966
1,25.0624456232566
2,23.742322602723007
3,25.06027182578269
4,31.302591382796777
5,35.45455564339876
6,30.30592705288091
7,27.202192345277993
8,26.350434452549784
9,26.4869143924277
10,27.22722098906109
11,27.318359688516413
12,27.86643969131127
13,29.078499903208293
14,29.681623839496154
15,29.601601002172774
16,31.428719248516522
17,29.286528855558696
18,28.26549133905869
19,28.05305875708872
20,26.935387416727554
21,26.898622869853096
22,27.51122663355973
23,29.09543410920673
