pickup_hour,pickup_dow,total_viajes
0,1,29011
1,1,23286
2,1,16664
3,1,10354
4,1,6219
5,1,2510
6,1,3887
7,1,5815
8,1,8018
9,1,12715
10,1,17685
11,1,20858
12,1,24220
13,1,26171
14,1,26092
15,1,23611
16,1,24119
17,1,23974
18,1,23256
19,1,19829
20,1,19213
21,1,19184
22,1,13512
23,1,9045
0,2,6131
1,2,2582
2,2,1340
3,2,1091
4,2,1648
5,2,3572
6,2,9017
7,2,17727
8,2,22753
9,2,22861
10,2,23067
11,2,24273
12,2,26268
13,2,27467
14,2,30052
15,2,30759
16,2,30008
17,2,33327
18,2,33666
19,2,27023
20,2,27067
21,2,26999
22,2,23363
23,2,13555
0,3,6222
1,3,2591
2,3,1202
3,3,823
4,3,1256
5,3,3375
6,3,9066
7,3,20012
8,3,26684
9,3,26914
10,3,26243
11,3,26950
12,3,29786
13,3,30601
14,3,33045
15,3,34053
16,3,33958
17,3,39399
18,3,42269
19,3,35916
20,3,36341
21,3,38739
22,3,35130
23,3,18878
0,4,6518
1,4,2420
2,4,1234
3,4,823
4,4,1128
5,4,2792
6,4,8018
7,4,16995
8,4,22015
9,4,22071
10,4,21527
11,4,22929
12,4,24752
13,4,25020
14,4,27241
15,4,28648
16,4,30968
17,4,35194
18,4,37834
19,4,32519
20,4,31777
21,4,32755
22,4,29544
23,4,18410
0,5,8920
1,5,3695
2,5,2132
3,5,1300
4,5,1761
5,5,3676
6,5,9202
7,5,18725
8,5,24411
9,5,23759
10,5,22598
11,5,23450
12,5,24802
13,5,25753
14,5,28174
15,5,29949
16,5,29979
17,5,35743
18,5,39376
19,5,35049
20,5,34350
21,5,35749
22,5,34773
23,5,25095
0,6,13863
1,6,6636
2,6,3437
3,6,2097
4,6,2308
5,6,3439
6,6,7521
7,6,14369
8,6,18215
9,6,18648
10,6,20022
11,6,21915
12,6,24462
13,6,25184
14,6,26907
15,6,28529
16,6,28140
17,6,31319
18,6,33529
19,6,31577
20,6,27342
21,6,26865
22,6,29853
23,6,30466
0,7,26698
1,7,20811
2,7,14902
3,7,9227
4,7,4967
5,7,2139
6,7,3572
7,7,5616
8,7,9633
9,7,14398
10,7,18879
11,7,22844
12,7,25568
13,7,25772
14,7,25171
15,7,26412
16,7,29566
17,7,31069
18,7,31441
19,7,30572
20,7,26560
21,7,27852
22,7,31170
23,7,32728
