pickup_hour,duracion_promedio_min
0,15.419672310341603
1,14.256854627805788
2,13.62341391227451
3,13.354029679887184
4,15.097940625601694
5,16.962461517869095
6,17.203343571351326
7,17.179674948859954
8,17.521686197598587
9,17.414641156891832
10,18.14982482698071
11,18.828506496348147
12,19.410311345443933
13,19.98853347536465
14,21.475226471472862
15,22.18141281727434
16,21.74897794505118
17,19.846397187457903
18,17.715640795079363
19,16.55392357587387
20,16.057046159947358
21,15.652850216888051
22,15.8487657681074
23,16.133321817386854
