pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,99108,5.232434147034143,41.06462299074061,16.45690286478094,15.41967231034156
1,59906,5.079717813560658,45.90722987264112,15.066360555389927,14.25685462780578
2,36941,5.146021107726445,49.272417209634256,13.993367207900556,13.623413912274513
3,23877,4.674340129837473,42.4089372489754,14.152821665286142,13.354029679887189
4,19043,6.643014279434589,39.31498369693704,18.334761935180676,15.097940625601716
5,22413,6.065978623986961,29.855576574847134,19.673516199361462,16.9624615178691
6,52419,5.509704959849455,30.34597562877907,18.73395782963855,17.203343571351347
7,106896,5.073334323150329,25.25915526313763,18.394274999629307,17.179674948859972
8,143277,4.885936908235771,26.587684573042747,19.298781309852217,17.521686197598562
9,154529,4.041317710649699,24.981870732799475,18.835808661367842,17.414641156891836
10,162506,3.849082954657082,29.930785846947856,18.945691219092815,18.149824826980723
11,175201,3.7205197830017407,29.131723101080766,19.549076057669936,18.82850649634801
12,191181,4.063142785987061,33.73416905022819,19.882562620563988,19.410311345443954
13,199017,4.414096003939549,31.024517131595477,21.367338879818217,19.988533475364708
14,218313,4.489661299151906,33.11012641890728,22.05829311025751,21.47522647147282
15,223282,4.693582792157465,36.841485678808645,22.302049036309626,22.18141281727434
16,222656,4.642381515935544,35.827422084896774,22.099376238840566,21.74897794505123
17,247700,4.243342387475449,30.891082131049284,20.81878245570647,19.84639718745797
18,260234,23.27740711713714,101.9266993936573,38.178418251479904,17.715640795079207
19,225653,23.076821155559326,103.27954999971985,36.33539173463954,16.553923575873867
20,198361,17.14555369438449,87.43377492004753,29.972577504778073,16.05704615994744
21,213551,13.462910063905237,74.88677289956385,26.265471382977857,15.652850216888048
22,203919,21.302120180976374,96.04294181378195,33.99390800623997,15.848765768107306
23,156305,41.313812683083,137.6292194497787,53.95430387455752,16.133321817386992
