pickup_hour,tarifa_promedio
0,29.08561337127171
1,26.805796748238976
2,24.440435559405497
3,25.977774008460134
4,31.60354303418585
5,36.344115914871054
6,30.935956046471816
7,27.756750580002535
8,27.280235697285068
9,27.17589526884867
10,27.805839599768145
11,28.203476863715853
12,28.61164890862518
13,29.642735143228066
14,30.603025701629075
15,30.516631300327703
16,32.14263918331326
17,30.342697819942842
18,28.602056072611333
19,28.748892192879882
20,28.020035238780757
21,27.950986509076643
22,28.21197043924198
23,29.197530405296725
