pickup_hour,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
0,99108,15.419672310341603,39.341403942670674,29.08561337127171,22.259712857887784,7.65,12.1,18.533333333333335,16.32,21.5,31.9
1,59906,14.256854627805788,43.208324244833726,26.805796748238976,20.122691306016506,7.083333333333333,11.033333333333333,16.666666666666668,16.0,20.52,29.25
2,36941,13.62341391227451,47.02504989478859,24.440435559405497,16.735491733750585,6.666666666666667,10.35,15.566666666666666,15.48,19.68,27.5
3,23877,13.354029679887184,39.93435941369495,25.977774008460134,19.58829903081461,6.316666666666666,10.166666666666666,15.95,15.45,19.8,28.92
4,19043,15.097940625601694,33.053488736795536,31.60354303418585,25.534103937539115,6.816666666666666,11.75,19.233333333333334,15.6,22.15,37.12
5,22413,16.962461517869095,27.198608408535733,36.344115914871054,29.423234943535963,6.383333333333334,11.616666666666667,22.25,15.48,22.59,51.0
6,52419,17.203343571351326,31.495630179792766,30.935956046471816,27.129315870647147,6.416666666666667,10.516666666666667,19.333333333333332,14.3,19.45,33.69
7,106896,17.179674948859954,27.3222959721548,27.756750580002535,23.179142489945427,7.15,11.483333333333333,19.05,14.7,19.32,28.56
8,143277,17.521686197598587,28.217592452201448,27.280235697285068,21.341843909748714,7.833333333333333,12.783333333333333,20.65,15.12,20.16,29.4
9,154529,17.414641156891832,27.233839573561106,27.17589526884867,21.00395467614961,7.983333333333333,13.233333333333333,21.283333333333335,15.12,20.2,29.4
10,162506,18.14982482698071,32.03474660187822,27.805839599768145,21.71190296770487,8.2,13.65,22.3,15.3,20.4,30.2
11,175201,18.828506496348147,31.3440682539595,28.203476863715853,21.853114269401217,8.633333333333333,14.4,23.416666666666668,15.47,21.0,30.9
12,191181,19.410311345443933,35.75525130405463,28.61164890862518,22.251494175848933,8.683333333333334,14.6,23.916666666666668,15.7,21.0,31.08
13,199017,19.98853347536465,33.63362683814495,29.642735143228066,23.790005591670933,8.733333333333333,14.7,24.45,15.7,21.0,31.92
14,218313,21.475226471472862,36.34384864604526,30.603025701629075,24.94302976266193,9.0,15.15,25.666666666666668,15.96,21.8,32.9
15,223282,22.18141281727434,40.42867868161396,30.516631300327703,25.085579581979427,9.066666666666666,15.216666666666667,25.883333333333333,15.96,21.8,32.76
16,222656,21.74897794505118,39.15444531010023,32.14263918331326,25.05280597365958,8.866666666666667,14.966666666666667,25.383333333333333,17.64,23.34,34.08
17,247700,19.846397187457903,33.0666649278169,30.342697819942842,22.68183228600845,8.683333333333334,14.516666666666667,23.916666666666668,17.65,23.16,32.63
18,260234,17.715640795079363,33.340767782621796,28.602056072611333,20.247162567129198,8.283333333333333,13.6,21.616666666666667,17.36,22.54,30.85
19,225653,16.55392357587387,35.07215936822539,28.748892192879882,21.201375690913785,7.883333333333334,12.833333333333334,20.366666666666667,17.25,22.1,30.7
20,198361,16.057046159947358,32.716865240655196,28.020035238780757,21.007914192843756,7.916666666666667,12.666666666666666,19.75,16.32,21.35,30.0
21,213551,15.652850216888051,28.81095630707412,27.950986509076643,20.501102115033486,8.0,12.666666666666666,19.5,16.4,21.36,30.45
22,203919,15.8487657681074,30.852945785939752,28.21197043924198,19.916404089861288,8.2,12.9,19.683333333333334,17.0,22.2,31.13
23,156305,16.133321817386854,33.09181297882778,29.197530405296725,21.38936023128245,8.116666666666667,12.816666666666666,19.75,16.87,22.2,32.28
