pickup_hour,pickup_dow,total_viajes
0,1,23426
1,1,18010
2,1,12378
3,1,8010
4,1,5200
5,1,2469
6,1,3678
7,1,5615
8,1,8532
9,1,13676
10,1,18904
11,1,23003
12,1,26752
13,1,27730
14,1,29227
15,1,27136
16,1,25923
17,1,25933
18,1,25628
19,1,22807
20,1,19876
21,1,18423
22,1,15766
23,1,11020
0,2,7491
1,2,3757
2,2,1802
3,2,1384
4,2,1870
5,2,2920
6,2,6685
7,2,13393
8,2,17341
9,2,17669
10,2,18015
11,2,18832
12,2,20858
13,2,22819
14,2,26525
15,2,26072
16,2,24258
17,2,27251
18,2,27759
19,2,23130
20,2,21010
21,2,21706
22,2,18378
23,2,11070
0,3,5824
1,3,2726
2,3,1298
3,3,826
4,3,1155
5,3,2881
6,3,7429
7,3,16897
8,3,22477
9,3,22065
10,3,21763
11,3,22921
12,3,24413
13,3,25260
14,3,27866
15,3,29151
16,3,29014
17,3,33018
18,3,35487
19,3,30410
20,3,27346
21,3,30841
22,3,26772
23,3,16912
0,4,9102
1,4,3821
2,4,1863
3,4,1232
4,4,1506
5,4,3589
6,4,10254
7,4,22774
8,4,30217
9,4,29369
10,4,28169
11,4,29922
12,4,31515
13,4,31982
14,4,35145
15,4,36420
16,4,37157
17,4,44060
18,4,46537
19,4,39059
20,4,38033
21,4,45139
22,4,40253
23,4,25768
0,5,11638
1,5,5569
2,5,2834
3,5,1854
4,5,1941
5,5,4217
6,5,10896
7,5,23165
8,5,30470
9,5,30937
10,5,29338
11,5,29625
12,5,31928
13,5,32560
14,5,36559
15,5,37671
16,5,38878
17,5,45421
18,5,49360
19,5,40248
20,5,37134
21,5,40474
22,5,38793
23,5,30131
0,6,18692
1,6,9155
2,6,5132
3,6,3232
4,6,3050
5,6,4200
6,6,9384
7,6,18842
8,6,24340
9,6,25795
10,6,27280
11,6,28421
12,6,30366
13,6,31780
14,6,36477
15,6,38052
16,6,37659
17,6,41193
18,6,43370
19,6,39069
20,6,30986
21,6,32134
22,6,35577
23,6,33783
0,7,22935
1,7,16868
2,7,11634
3,7,7339
4,7,4321
5,7,2137
6,7,4093
7,7,6210
8,7,9900
9,7,15018
10,7,19037
11,7,22477
12,7,25349
13,7,26886
14,7,26514
15,7,28780
16,7,29767
17,7,30824
18,7,32093
19,7,30930
20,7,23976
21,7,24834
22,7,28380
23,7,27621
