pickup_hour,duracion_promedio_min
0,15.834698306542732
1,14.222604314791095
2,13.564405570846976
3,14.034953179405722
4,14.748881275233654
5,17.553925613302994
6,17.24631985644181
7,16.394128807518417
8,16.969341062029525
9,17.305747925400023
10,17.64971500570638
11,18.22846054576646
12,18.59128439533448
13,19.34338500192073
14,20.251744496298482
15,20.817277655733445
16,20.669341158185535
17,19.334792197444184
18,17.285785397619414
19,16.431573202116795
20,16.00972975900358
21,16.073028663841143
22,16.18319080143103
23,16.396862580915254
