pickup_hour,tarifa_promedio
0,29.042967169766754
1,26.51097793796716
2,25.21042985549637
3,25.962955275345777
4,31.744518168219017
5,37.973480178300704
6,31.688064820918676
7,27.821113825165764
8,27.076526564061073
9,27.01320949895862
10,27.52987729019054
11,27.83756818127852
12,27.79332697350083
13,28.86787539322402
14,29.525280497151456
15,29.694373150472607
16,31.478352658537727
17,29.953581464049385
18,28.337030939445896
19,28.52153614080372
20,27.89004424586961
21,27.90017835053555
22,28.560601869001882
23,29.529357508614197
