pickup_hour,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
0,110051,15.834698306542732,37.817609986042456,29.042967169766754,21.773967311630745,7.916666666666667,12.466666666666667,19.25,16.53,22.08,32.28
1,71027,14.222604314791095,41.903925114687816,26.51097793796716,19.567746299371475,7.266666666666667,11.2,16.966666666666665,16.3,20.52,29.1
2,46504,13.564405570846976,41.36489622589214,25.21042985549637,18.32313317509423,6.933333333333334,10.633333333333333,16.0,15.7,20.28,28.08
3,29581,14.034953179405722,48.99961191790314,25.962955275345777,18.398673777653965,6.683333333333334,10.383333333333333,16.066666666666666,15.64,20.41,29.0
4,20723,14.748881275233654,31.46258860592601,31.744518168219017,25.315292605459337,6.983333333333333,11.766666666666667,19.066666666666666,16.13,22.29,37.24
5,21088,17.553925613302994,42.5952236153528,37.973480178300704,31.184546872155277,6.266666666666667,11.783333333333333,22.55,15.5,23.12,54.94
6,45510,17.24631985644181,41.002746473052916,31.688064820918676,27.86498745396439,6.383333333333334,10.483333333333333,19.466666666666665,14.3,19.68,35.28
7,86791,16.394128807518417,29.451143550421744,27.821113825165764,24.010449464683116,6.9,11.0,18.133333333333333,14.63,19.25,28.2
8,125075,16.969341062029525,28.82558031041632,27.076526564061073,21.769634221073275,7.65,12.516666666666667,20.183333333333334,15.12,20.09,28.61
9,140268,17.305747925400023,32.194806761777684,27.01320949895862,21.10367935311249,7.816666666666666,13.0,21.066666666666666,15.12,20.16,29.3
10,153044,17.64971500570638,32.595219501209904,27.52987729019054,21.74411289767255,7.95,13.2,21.733333333333334,15.12,20.16,29.69
11,168668,18.22846054576646,30.091254460149646,27.83756818127852,21.910372620513627,8.283333333333333,13.733333333333333,22.533333333333335,15.12,20.33,30.24
12,183443,18.59128439533448,34.18191948345107,27.79332697350083,21.87243418142143,8.266666666666667,13.783333333333333,22.633333333333333,15.12,20.3,30.1
13,192638,19.34338500192073,35.14092118248317,28.86787539322402,23.398444432742185,8.383333333333333,14.033333333333333,23.333333333333332,15.3,20.99,31.05
14,206134,20.251744496298482,35.723679931786336,29.525280497151456,24.567359174293088,8.45,14.15,23.966666666666665,15.4,21.0,31.4
15,209851,20.817277655733445,39.197705415179406,29.694373150472607,24.989173276476624,8.45,14.133333333333333,23.983333333333334,15.4,21.0,31.1
16,211037,20.669341158185535,40.42908687489642,31.478352658537727,25.25451374381236,8.4,14.183333333333334,24.133333333333333,17.28,22.75,33.24
17,228831,19.334792197444184,34.97541883821051,29.953581464049385,22.74013058647133,8.316666666666666,13.933333333333334,23.1,17.28,22.7,32.24
18,241504,17.285785397619414,33.468471189397576,28.337030939445896,21.113068519404866,7.916666666666667,13.016666666666667,20.816666666666666,17.2,22.15,30.3
19,207494,16.431573202116795,32.958213593325674,28.52153614080372,21.51030284761246,7.716666666666667,12.55,19.983333333333334,17.05,21.84,30.28
20,184650,16.00972975900358,33.43852846087653,27.89004424586961,20.956773779847683,7.733333333333333,12.45,19.566666666666666,16.32,21.3,29.76
21,197252,16.073028663841143,33.698294956424114,27.90017835053555,20.137193745353752,8.083333333333334,12.783333333333333,19.716666666666665,16.4,21.36,30.6
22,191653,16.18319080143103,30.965410751792636,28.560601869001882,20.442433663702854,8.316666666666666,13.116666666666667,20.016666666666666,17.1,22.2,31.44
23,155255,16.396862580915254,30.99153616228194,29.529357508614197,21.54519464670321,8.333333333333334,13.15,20.35,17.1,22.3,32.93
