pickup_hour,pickup_dow,total_viajes
0,1,30932
1,1,24605
2,1,17300
3,1,11724
4,1,6832
5,1,3177
6,1,4482
7,1,6789
8,1,10243
9,1,16171
10,1,21321
11,1,25117
12,1,28045
13,1,29252
14,1,30630
15,1,30592
16,1,30590
17,1,31567
18,1,29860
19,1,25572
20,1,23023
21,1,23388
22,1,19529
23,1,14746
0,2,7091
1,2,3345
2,2,2048
3,2,1236
4,2,1719
5,2,3235
6,2,7749
7,2,14582
8,2,20634
9,2,20473
10,2,20382
11,2,21522
12,2,22336
13,2,23456
14,2,25903
15,2,26017
16,2,25956
17,2,28944
18,2,30353
19,2,25048
20,2,23299
21,2,23957
22,2,20133
23,2,13120
0,3,6369
1,3,2360
2,3,1215
3,3,737
4,3,1171
5,3,2919
6,3,7386
7,3,15698
8,3,22466
9,3,22784
10,3,22808
11,3,23864
12,3,25658
13,3,26802
14,3,29179
15,3,29575
16,3,29979
17,3,33464
18,3,35672
19,3,30059
20,3,28393
21,3,32061
22,3,28375
23,3,19504
0,4,9539
1,4,4187
2,4,2025
3,4,1293
4,4,1311
5,4,2711
6,4,6909
7,4,14467
8,4,20585
9,4,21540
10,4,22301
11,4,24086
12,4,26364
13,4,27240
14,4,28628
15,4,29401
16,4,29518
17,4,32424
18,4,34429
19,4,29751
20,4,29606
21,4,31283
22,4,29115
23,4,19786
0,5,10291
1,5,4807
2,5,2421
3,5,1490
4,5,1545
5,5,3136
6,5,7458
7,5,15587
8,5,22378
9,5,22814
10,5,23053
11,5,24573
12,5,26249
13,5,27202
14,5,30569
15,5,31072
16,5,31299
17,5,35071
18,5,37149
19,5,30596
20,5,29029
21,5,32163
22,5,31619
23,5,25060
0,6,15296
1,6,7540
2,6,4069
3,6,2512
4,6,2211
5,6,3299
6,6,6959
7,6,12319
8,6,17280
9,6,18954
10,6,20413
11,6,22536
12,6,24565
13,6,25800
14,6,28619
15,6,29947
16,6,28860
17,6,31066
18,6,36249
19,6,31189
20,6,22720
21,6,23779
22,6,26730
23,6,27422
0,7,30533
1,7,24183
2,7,17426
3,7,10589
4,7,5934
5,7,2611
6,7,4567
7,7,7349
8,7,11489
9,7,17532
10,7,22766
11,7,26970
12,7,30226
13,7,32886
14,7,32606
15,7,33247
16,7,34835
17,7,36295
18,7,37792
19,7,35279
20,7,28580
21,7,30621
22,7,36152
23,7,35617
