pickup_hour,duracion_promedio_min
0,16.2616566105385
1,14.902183174591205
2,14.123740046657792
3,13.70351962619667
4,15.17293577981652
5,17.454229279903366
6,18.58654047641059
7,15.850766332297972
8,16.88736982817464
9,17.158947819296312
10,17.209162621950657
11,17.629515083244463
12,17.945641027201827
13,18.189441603952435
14,19.157439589992766
15,19.73335700108566
16,19.873655832526296
17,18.83687631793196
18,16.830695415882793
19,15.758023727841204
20,15.78605353189779
21,15.99145827600445
22,16.516377842961138
23,16.96847839433827
