pickup_hour,tarifa_promedio
0,31.63539231039997
1,29.42427888416237
2,26.869340621204152
3,26.821586228939246
4,33.1339110892185
5,37.57091868272409
6,30.379489461033923
7,27.412143566372677
8,26.81172272870108
9,26.845540442068877
10,27.05104149001444
11,27.380039761564092
12,27.716079694176393
13,28.293692422588123
14,29.23451131934943
15,29.46246307282276
16,31.762865645475348
17,30.40983248918909
18,28.98238319425002
19,28.6120754966741
20,28.506557809935895
21,28.529171711611767
22,29.46485098204235
23,31.559573105387965
