pickup_hour,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
0,82371,16.2616566105385,37.82151690126278,31.63539231039997,26.24079311856886,7.933333333333334,12.616666666666667,19.65,16.4,22.2,34.9
1,53126,14.902183174591205,38.241325427397406,29.42427888416237,24.80353328892012,7.366666666666666,11.566666666666666,17.95,16.13,21.0,31.8
2,34578,14.123740046657792,42.17332967235942,26.869340621204152,20.786211695356876,6.966666666666667,10.833333333333334,16.466666666666665,15.6,20.32,29.55
3,21901,13.70351962619667,39.31118755552511,26.821586228939246,21.035930650944398,6.616666666666666,10.583333333333334,16.516666666666666,15.46,20.35,29.76
4,16241,15.17293577981652,36.37857501309756,33.1339110892185,26.90913860276529,6.933333333333334,11.95,19.483333333333334,15.86,22.68,39.24
5,18766,17.454229279903366,41.807111551432804,37.57091868272409,31.799497209626974,6.15,11.45,22.683333333333334,15.26,22.6,54.2
6,43268,18.58654047641059,64.97584549082322,30.379489461033923,26.990676091775615,6.166666666666667,10.066666666666666,18.516666666666666,14.28,19.25,33.7
7,78556,15.850766332297972,28.849284349712644,27.412143566372677,23.45929891381896,6.75,10.766666666666667,17.783333333333335,14.49,18.9,27.72
8,117697,16.88736982817464,26.679379426061974,26.81172272870108,21.051941704672668,7.85,12.766666666666667,20.45,15.12,20.15,28.7
9,127627,17.158947819296312,30.36322789700277,26.845540442068877,20.773959121528097,7.9,13.1,21.133333333333333,15.12,20.16,29.3
10,136804,17.209162621950657,31.46878168866409,27.05104149001444,21.387966737082028,7.783333333333333,12.95,21.233333333333334,15.1,20.12,29.35
11,149139,17.629515083244463,32.1126607315658,27.380039761564092,22.13614337157617,8.016666666666667,13.316666666666666,21.783333333333335,15.12,20.16,29.4
12,164278,17.945641027201827,32.3384524616047,27.716079694176393,22.401304022117703,8.033333333333333,13.383333333333333,21.966666666666665,15.12,20.16,29.4
13,174070,18.189441603952435,31.28370836821929,28.293692422588123,23.332126217668737,8.1,13.45,22.183333333333334,15.12,20.16,30.03
14,182696,19.157439589992766,34.090210524230216,29.23451131934943,24.82361097807074,8.266666666666667,13.733333333333333,22.833333333333332,15.12,20.3,30.62
15,182386,19.73335700108566,39.141951827385256,29.46246307282276,25.027161880795003,8.25,13.766666666666667,23.0,15.12,20.48,30.9
16,184817,19.873655832526296,37.371119956081614,31.762865645475348,25.87453536063721,8.233333333333333,13.85,23.266666666666666,17.25,22.62,33.24
17,199808,18.83687631793196,37.53982119696441,30.40983248918909,24.514489884296058,8.2,13.7,22.366666666666667,17.28,22.65,31.92
18,207310,16.830695415882793,32.811637786880915,28.98238319425002,22.23742811896728,7.8,12.766666666666667,20.4,17.2,22.1,30.4
19,181306,15.758023727841204,32.27176733534003,28.6120754966741,22.13209303953008,7.483333333333333,12.183333333333334,19.1,16.8,21.48,29.88
20,163977,15.78605353189779,39.815019588788886,28.506557809935895,23.564035226512626,7.683333333333334,12.3,19.233333333333334,16.3,21.12,29.8
21,174432,15.99145827600445,30.638717551754528,28.529171711611767,21.994206130252547,8.016666666666667,12.8,19.75,16.4,21.36,30.6
22,159209,16.516377842961138,32.45434841994636,29.46485098204235,22.68410843247254,8.216666666666667,13.1,20.3,16.91,22.2,32.28
23,119444,16.96847839433827,31.993474806127193,31.559573105387965,24.964688377649846,8.2,13.233333333333333,20.9,16.77,22.6,34.97
