pickup_hour,duracion_promedio_min
0,15.721874157489781
1,14.724795561277217
2,13.49029014308429
3,13.566396141132007
4,15.270797917356584
5,16.858605636460332
6,17.208220968732693
7,16.43767798646514
8,16.69532600850361
9,16.981841685241637
10,17.575693707855425
11,18.182294024667343
12,18.6526177337684
13,19.080351687525585
14,19.756086135842942
15,20.170428985376503
16,20.090332129405578
17,18.944475140442677
18,16.948370734756747
19,16.292799226595108
20,15.830131823871788
21,15.69312120800511
22,15.946193737881428
23,16.43947113227264
