pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,80365,5.264181829170895,41.164334644399496,17.294394011094894,15.721874157489744
1,55151,5.309592949004695,43.58795065945206,16.445666642761804,14.724795561277224
2,37740,5.036116404488619,39.199359006710395,15.65756737268672,13.490290143084277
3,24705,5.622393865124337,40.07502304849888,16.292273119798185,13.566396141132032
4,18118,7.745700019220449,49.37528927307738,20.031325326974972,15.270797917356582
5,19433,6.474512392320418,38.659221004102974,20.329723887010534,16.858605636460315
6,44498,6.688221632865962,53.452850469775896,18.71071985721483,17.208220968732704
7,71026,4.720579140522653,36.074777414571265,16.869852540811905,16.43767798646498
8,105759,4.124415166874054,31.25514894238664,16.471100998684896,16.695326008503486
9,121130,3.8946674605965277,30.2674848507825,17.275961297662274,16.981841685241758
10,131047,3.958761291197432,31.36334308779353,18.175295508255143,17.575693707855425
11,144455,3.903572735442933,30.90211211510276,18.631402662803104,18.18229402466742
12,156936,4.059331089486179,33.2888296518346,19.16758642802374,18.6526177337684
13,164758,4.13526930150738,36.25694988756088,19.232525240946664,19.080351687525596
14,173416,4.102946680116175,35.9390126993724,20.09050239145284,19.75608613584287
15,177271,4.285216031932369,42.88486075507716,20.34566170814294,20.170428985376436
16,181074,4.211632145593209,35.73207421257523,20.458177545598517,20.090332129405557
17,198361,4.387840167302018,36.265414806355,19.871713645945125,18.944475140442677
18,203691,4.086397557378784,32.310481975900984,18.238093435017976,16.94837073475679
19,176363,4.460123886340374,33.15181090440515,18.099404374235498,16.292799226595115
20,164032,4.49645472530223,34.44212683755,17.510872212882195,15.830131823871682
21,161964,4.848249219202702,37.982651371126686,17.82874534265861,15.693121208005044
22,145265,4.92669245022972,37.62534114528395,18.006835876225217,15.946193737881332
23,110683,5.219236137459506,39.76383206871689,18.382143060258006,16.4394711322726
