pickup_hour,tarifa_promedio
0,31.03844907608986
1,28.78078729306821
2,26.923160307366143
3,27.316011738514426
4,33.264256540456984
5,36.89477795502506
6,30.484145130118318
7,28.27773125334344
8,27.102432133434775
9,26.95019945513046
10,27.55506749486773
11,27.83245439756275
12,28.560243283885594
13,28.92888770196231
14,29.787989977855776
15,29.943265226685753
16,31.915899411289143
17,30.31629150891465
18,28.89011748187171
19,29.0551547093209
20,28.563377328813242
21,28.47544133264108
22,29.552725708188028
23,31.557243388776218
