pickup_hour,pickup_dow,total_viajes
0,1,18225
1,1,15622
2,1,11968
3,1,7662
4,1,4872
5,1,2208
6,1,3564
7,1,4590
8,1,6507
9,1,10024
10,1,13197
11,1,15685
12,1,17404
13,1,18508
14,1,20001
15,1,18989
16,1,21502
17,1,21219
18,1,19362
19,1,18793
20,1,18076
21,1,15676
22,1,11933
23,1,8300
0,2,5173
1,2,2793
2,2,1982
3,2,1467
4,2,1497
5,2,2587
6,2,6622
7,2,10474
8,2,15508
9,2,16909
10,2,16646
11,2,17590
12,2,19313
13,2,20060
14,2,21401
15,2,22635
16,2,22189
17,2,23433
18,2,23533
19,2,19244
20,2,19585
21,2,18743
22,2,13251
23,2,9574
0,3,5737
1,3,2723
2,3,1204
3,3,768
4,3,1128
5,3,2536
6,3,6454
7,3,11473
8,3,17876
9,3,18873
10,3,18846
11,3,19661
12,3,20997
13,3,21968
14,3,22927
15,3,23172
16,3,23708
17,3,27712
18,3,30337
19,3,24457
20,3,24853
21,3,25003
22,3,20300
23,3,11986
0,4,6435
1,4,3293
2,4,1930
3,4,1192
4,4,1287
5,4,2481
6,4,6563
7,4,11639
8,4,18193
9,4,19279
10,4,19380
11,4,20517
12,4,22575
13,4,23877
14,4,24393
15,4,24894
16,4,24408
17,4,26996
18,4,27739
19,4,23156
20,4,23182
21,4,25456
22,4,22040
23,4,13561
0,5,10425
1,5,4958
2,5,2531
3,5,1669
4,5,1964
5,5,3546
6,5,8926
7,5,14931
8,5,22383
9,5,23538
10,5,23956
11,5,26358
12,5,27249
13,5,28264
14,5,29887
15,5,31669
16,5,31683
17,5,35792
18,5,36587
19,5,30532
20,5,28496
21,5,30031
22,5,29045
23,5,21139
0,6,13634
1,6,7885
2,6,4733
3,6,3145
4,6,2670
5,6,3743
6,6,7780
7,6,11750
8,6,16066
9,6,18757
10,6,20637
11,6,23061
12,6,25024
13,6,25772
14,6,29108
15,6,29572
16,6,28726
17,6,30357
18,6,34817
19,6,29957
20,6,23349
21,6,23821
22,6,24287
23,6,21648
0,7,20736
1,7,17877
2,7,13392
3,7,8802
4,7,4700
5,7,2332
6,7,4589
7,7,6169
8,7,9226
9,7,13750
10,7,18385
11,7,21583
12,7,24374
13,7,26309
14,7,25699
15,7,26340
16,7,28858
17,7,32852
18,7,31316
19,7,30224
20,7,26491
21,7,23234
22,7,24409
23,7,24475
