pickup_hour,duracion_promedio_min
0,15.57825708644807
1,14.177712170963805
2,13.320522261536212
3,13.014953679426663
4,15.064516129032254
5,17.541679768180277
6,17.891651332771087
7,17.89096140474012
8,18.348098143776227
9,17.95257941044764
10,18.463677471256624
11,19.488709207728082
12,19.950691867939877
13,20.92531865846215
14,21.895757645225558
15,22.633679228843942
16,22.802905078400148
17,20.615577994099958
18,18.370498408378506
19,17.696063919969074
20,17.0990370509245
21,16.577465314122488
22,16.79060447109431
23,16.792651633307358
