pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,108223,28.95244164787253,64.99573906316608,18.749233274355973,15.578257086448042
1,67913,27.333083050026882,63.11884774090156,17.71346074956366,14.177712170963856
2,45220,26.70772842850923,63.75791493474705,17.025452675240686,13.320522261536238
3,28605,24.597419415059953,57.34464349265979,15.377514693258226,13.014953679426666
4,19840,23.371051142278134,57.616654622377375,15.520749696416557,15.064516129032263
5,21626,20.710837046671667,49.797330083890955,16.269278507731304,17.541679768180266
6,52172,22.30228914952275,56.727780001083616,19.21450647120941,17.891651332771065
7,102586,24.428047147941164,58.49930199277903,20.378016194102102,17.890961404740068
8,132581,24.386613869528702,60.45640528981481,22.491358563899812,18.348098143776323
9,139948,23.3124286870539,58.232805001813645,23.2678946639472,17.95257941044771
10,149165,23.258199033401535,59.91787376474958,23.746783847870166,18.463677471256727
11,162541,23.438233502820847,60.7848592228821,24.79395515098407,19.48870920772826
12,177081,22.05039561049178,63.17437926940744,29.65872475752369,19.9506918679399
13,184942,22.35155468491881,62.34538049327253,29.71799963701424,20.92531865846229
14,200659,22.49208229059727,61.09614728259061,33.79314482118676,21.895757645225657
15,210420,23.24254411069464,65.48441078265675,33.7587171527061,22.63367922884397
16,209587,23.085469496129043,63.90045599093731,33.66343475773812,22.802905078400276
17,232883,23.18389537906699,62.83082885684507,32.251466243891535,20.615577994099983
18,244719,23.484922892168807,61.54158276785191,30.478701229924525,18.37049840837862
19,225313,24.128690486579618,62.46525311478606,29.083327770917865,17.696063919969024
20,213355,24.65617617821479,62.939970849390875,30.24878427680324,17.099037050924505
21,207313,24.70091886322466,62.72954778619779,30.436008178410997,16.577465314122495
22,193122,27.527806756982955,65.34836616433944,31.78688623441114,16.790604471094287
23,153880,31.66868525159243,70.04754278246988,32.667441614809064,16.792651633307297
