pickup_hour,tarifa_promedio
0,28.34255999186854
1,25.679679884558272
2,23.66522291021673
3,25.03808704771895
4,30.979611895161373
5,37.21780356977735
6,30.62931802499446
7,27.689064199792973
8,27.445072521703267
9,27.460152056477497
10,27.89147802768708
11,28.626172596451994
12,29.07636290736937
13,30.359658109027915
14,31.266364130189867
15,31.077156021289667
16,33.1732166594288
17,31.068976524691276
18,29.466999047886812
19,29.439243141762223
20,28.680744158795036
21,28.838433576281982
22,29.257736456746525
23,30.14473459838759
