pickup_hour,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
0,108223,15.57825708644807,36.392865473884186,28.34255999186854,21.45632042423625,8.0,12.6,19.366666666666667,16.35,21.36,31.1
1,67913,14.177712170963805,35.656013902219186,25.679679884558272,18.25865476293158,7.45,11.516666666666667,17.2,16.28,20.52,28.5
2,45220,13.320522261536212,37.49070275111803,23.66522291021673,14.451887285866107,7.033333333333333,10.75,15.866666666666667,15.59,19.7,27.2
3,28605,13.014953679426663,29.89510617621609,25.03808704771895,17.243973114665472,6.833333333333333,10.616666666666667,16.133333333333333,15.48,19.9,28.08
4,19840,15.064516129032254,35.09525586404056,30.979611895161373,24.580038398594393,7.1,11.983333333333333,19.2,15.8,22.0,35.58
5,21626,17.541679768180277,29.8499711465531,37.21780356977735,30.50221456602974,6.8,12.566666666666666,23.133333333333333,15.5,22.98,52.5
6,52172,17.891651332771087,37.70174136696335,30.62931802499446,26.99353391200391,6.866666666666666,11.333333333333334,19.866666666666667,14.7,19.96,32.96
7,102586,17.89096140474012,28.77544708315241,27.689064199792973,23.181502452792767,7.516666666666667,12.266666666666667,20.233333333333334,15.0,19.8,28.79
8,132581,18.348098143776227,31.155449608035546,27.445072521703267,21.392076809921317,8.15,13.5,21.75,15.3,20.79,29.7
9,139948,17.95257941044764,26.684077911506456,27.460152056477497,21.45784827638911,8.0,13.433333333333334,22.0,15.12,20.3,29.75
10,149165,18.463677471256624,29.776066817160068,27.89147802768708,21.760404763757283,8.2,13.833333333333334,22.866666666666667,15.12,20.5,30.24
11,162541,19.488709207728082,32.344864548257526,28.626172596451994,22.736223187780254,8.666666666666666,14.6,24.05,15.4,21.0,31.08
12,177081,19.950691867939877,33.1013296034856,29.07636290736937,22.999312327731325,8.833333333333334,14.983333333333333,24.85,15.6,21.0,31.86
13,184942,20.92531865846215,33.17990016969783,30.359658109027915,24.601527261111354,9.0,15.316666666666666,25.716666666666665,15.95,21.74,32.76
14,200659,21.895757645225558,30.498198619505892,31.266364130189867,25.773147382785844,9.266666666666667,15.783333333333333,26.8,15.96,21.84,33.6
15,210420,22.633679228843942,39.22710172387894,31.077156021289667,25.75751666931935,9.316666666666666,15.8,27.033333333333335,15.96,21.84,33.6
16,209587,22.802905078400148,39.17515784569793,33.1732166594288,26.518725567245962,9.1,15.55,27.1,17.64,23.52,35.3
17,232883,20.615577994099958,32.56200092988298,31.068976524691276,23.814450654600368,8.9,15.0,25.066666666666666,17.64,23.2,33.24
18,244719,18.370498408378506,28.66097975711532,29.466999047886812,22.459025466168377,8.45,13.966666666666667,22.633333333333333,17.28,22.4,31.5
19,225313,17.696063919969074,28.644485802368887,29.439243141762223,22.206123438503806,8.383333333333333,13.683333333333334,21.95,17.28,22.32,31.45
20,213355,17.0990370509245,29.81590061931112,28.680744158795036,21.497611955830614,8.5,13.666666666666666,21.333333333333332,16.5,21.62,30.94
21,207313,16.577465314122488,29.91620679119054,28.838433576281982,21.380103653764046,8.583333333333334,13.566666666666666,20.766666666666666,17.0,22.08,31.44
22,193122,16.79060447109431,29.58161683796518,29.257736456746525,21.47666071086853,8.7,13.783333333333333,21.066666666666666,17.1,22.2,32.24
23,153880,16.792651633307358,32.06255156043554,30.14473459838759,22.81401220070124,8.583333333333334,13.6,21.133333333333333,17.0,22.2,33.2
