pickup_hour,pickup_dow,total_viajes
0,1,31781
1,1,26166
2,1,19190
3,1,12289
4,1,7137
5,1,3240
6,1,5031
7,1,7014
8,1,10720
9,1,16923
10,1,22851
11,1,28040
12,1,32806
13,1,33700
14,1,33815
15,1,31639
16,1,32280
17,1,33425
18,1,33153
19,1,28366
20,1,25122
21,1,23200
22,1,20163
23,1,14560
0,2,8716
1,2,4352
2,2,2546
3,2,1769
4,2,2308
5,2,4095
6,2,10090
7,2,18859
8,2,23151
9,2,22416
10,2,23046
11,2,24291
12,2,26057
13,2,27474
14,2,30505
15,2,32207
16,2,30990
17,2,34216
18,2,35244
19,2,31260
20,2,31266
21,2,29964
22,2,23113
23,2,14187
0,3,6287
1,3,2476
2,3,1159
3,3,684
4,3,1062
5,3,2910
6,3,8167
7,3,17686
8,3,22429
9,3,21620
10,3,20842
11,3,21576
12,3,22434
13,3,22885
14,3,25221
15,3,26934
16,3,26836
17,3,31370
18,3,32996
19,3,30268
20,3,30788
21,3,30902
22,3,25357
23,3,17079
0,4,7949
1,4,3158
2,4,1389
3,4,941
4,4,1134
5,4,2885
6,4,8264
7,4,17966
8,4,22682
9,4,22092
10,4,20910
11,4,22353
12,4,23383
13,4,24162
14,4,26277
15,4,28179
16,4,27987
17,4,33046
18,4,35546
19,4,32486
20,4,32735
21,4,33389
22,4,29489
23,4,18992
0,5,9705
1,5,4141
2,5,2013
3,5,1326
4,5,1315
5,5,3092
6,5,8621
7,5,18661
8,5,24162
9,5,23252
10,5,22818
11,5,23192
12,5,24313
13,5,25305
14,5,28953
15,5,30431
16,5,30410
17,5,35618
18,5,38062
19,5,35497
20,5,34744
21,5,34656
22,5,33577
23,5,25851
0,6,16233
1,6,7168
2,6,3914
3,6,2311
4,6,2067
5,6,3197
6,6,7964
7,6,16309
8,6,19380
9,6,18860
10,6,19755
11,6,21504
12,6,23012
13,6,24376
14,6,28554
15,6,30790
16,6,29252
17,6,33198
18,6,34737
19,6,32780
20,6,28349
21,6,27380
22,6,29802
23,6,30711
0,7,27552
1,7,20452
2,7,15009
3,7,9285
4,7,4817
5,7,2207
6,7,4035
7,7,6091
8,7,10057
9,7,14785
10,7,18943
11,7,21585
12,7,25076
13,7,27040
14,7,27334
15,7,30240
16,7,31832
17,7,32010
18,7,34981
19,7,34656
20,7,30351
21,7,27822
22,7,31621
23,7,32500
