pickup_hour,duracion_promedio_min
0,15.707903757312025
1,13.937662839897484
2,13.069997955058495
3,13.259351402123283
4,15.033831995665278
5,17.63800586062273
6,18.367065877297808
7,17.18853271724196
8,17.18874993516501
9,17.492488657813006
10,17.950990704550904
11,19.151042216231396
12,19.840673924257676
13,20.335482444343324
14,21.607518082040187
15,22.382420874486666
16,22.165378864535672
17,20.0289925713014
18,18.294728091247812
19,17.088356160503967
20,16.545519790154646
21,16.41989250166669
22,16.636650510899887
23,16.593702948736297
