pickup_hour,tarifa_promedio
0,28.50206338394566
1,25.566426545746875
2,23.782333592883642
3,25.406707574802617
4,32.361163771208076
5,37.414001333222444
6,30.769765180866916
7,27.550771271622928
8,26.703066551203488
9,27.055737919300764
10,27.65733511400769
11,28.417033713075977
12,29.256181678955397
13,30.093806484316048
14,31.44224724330712
15,31.501865483213493
16,33.381420595195735
17,30.78381563872531
18,29.22100342368519
19,28.951538879825215
20,28.50314174601177
21,28.897699169866133
22,29.05743408979641
23,29.860667314968204
