pickup_hour,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
0,105705,15.707903757312025,38.1605298948527,28.50206338394566,22.288881599707615,7.883333333333334,12.533333333333333,19.433333333333334,16.32,21.36,31.13
1,65939,13.937662839897484,31.068847631780333,25.566426545746875,18.248528297803784,7.383333333333334,11.45,17.216666666666665,15.92,20.52,28.25
2,42381,13.069997955058495,33.4399716507025,23.782333592883642,14.796928460788957,6.95,10.716666666666667,16.033333333333335,15.48,19.68,27.24
3,26971,13.259351402123283,34.32267355335812,25.406707574802617,18.599793007241324,6.683333333333334,10.616666666666667,16.35,15.48,19.9,28.9
4,19686,15.033831995665278,28.23487119739631,32.361163771208076,26.704299999964203,6.983333333333333,12.0,19.65,15.7,22.2,37.59
5,24002,17.63800586062273,28.595110562704523,37.414001333222444,31.349884311765273,6.833333333333333,12.533333333333333,23.35,15.48,22.68,53.5
6,55234,18.367065877297808,45.8809399847365,30.769765180866916,26.920465860992692,6.916666666666667,11.35,20.083333333333332,14.6,19.73,33.25
7,112321,17.18853271724196,26.508672288802963,27.550771271622928,23.178224676475487,7.466666666666667,11.95,19.466666666666665,15.0,19.38,28.4
8,147811,17.18874993516501,22.800083461064432,26.703066551203488,20.894880782512182,8.066666666666666,13.083333333333334,20.783333333333335,15.12,20.15,28.55
9,157524,17.492488657813006,33.3774658307444,27.055737919300764,20.93915670844827,8.15,13.45,21.483333333333334,15.12,20.16,29.0
10,163234,17.950990704550904,28.77909661698183,27.65733511400769,21.393748157645565,8.383333333333333,13.916666666666666,22.5,15.3,20.7,30.05
11,172485,19.151042216231396,32.877618725933466,28.417033713075977,21.887691532937872,8.9,14.85,24.0,15.75,21.0,31.08
12,186747,19.840673924257676,33.17757285205229,29.256181678955397,22.771938221658406,9.083333333333334,15.25,24.966666666666665,15.95,21.7,31.92
13,193328,20.335482444343324,39.48113860300915,30.093806484316048,24.108769192918913,9.116666666666667,15.5,25.483333333333334,15.96,21.84,32.76
14,208402,21.607518082040187,31.633304412131153,31.44224724330712,25.601800348206332,9.466666666666667,15.95,26.716666666666665,16.0,21.88,33.9
15,219809,22.382420874486666,34.807471153279366,31.501865483213493,26.065091316840054,9.5,15.966666666666667,27.083333333333332,16.05,21.9,33.6
16,221372,22.165378864535672,37.30641778454986,33.381420595195735,26.460565248169626,9.166666666666666,15.616666666666667,26.75,17.9,24.0,35.45
17,247015,20.0289925713014,34.92227930158534,30.78381563872531,23.20627010511149,8.85,14.833333333333334,24.266666666666666,17.8,23.16,32.88
18,264335,18.294728091247812,33.10695117169999,29.22100342368519,21.53493267875643,8.566666666666666,14.0,22.266666666666666,17.38,22.4,31.08
19,235392,17.088356160503967,31.89482672823131,28.951538879825215,21.455699227278433,8.216666666666667,13.366666666666667,21.1,17.28,22.32,30.72
20,219082,16.545519790154646,30.96825507020147,28.50314174601177,21.418858008878527,8.333333333333334,13.35,20.683333333333334,16.5,21.38,30.6
21,225988,16.41989250166669,29.58381004616416,28.897699169866133,21.135692731429682,8.533333333333333,13.5,20.666666666666668,17.0,22.2,31.4
22,206531,16.636650510899887,29.9502140065776,29.05743408979641,21.02695314179998,8.65,13.7,20.95,17.1,22.2,32.11
23,160419,16.593702948736297,30.538663769127865,29.860667314968204,22.382209693048218,8.433333333333334,13.516666666666667,21.0,16.93,22.2,33.12
