pickup_hour,pickup_dow,total_viajes
0,1,28301
1,1,23295
2,1,16544
3,1,10345
4,1,5987
5,1,3029
6,1,4221
7,1,6205
8,1,9257
9,1,14479
10,1,19171
11,1,21384
12,1,24262
13,1,25459
14,1,25787
15,1,24922
16,1,26564
17,1,27129
18,1,27396
19,1,23580
20,1,20428
21,1,19105
22,1,15233
23,1,10779
0,2,6286
1,2,2782
2,2,1342
3,2,1034
4,2,1781
5,2,3496
6,2,7981
7,2,15562
8,2,19756
9,2,19498
10,2,19614
11,2,20000
12,2,21737
13,2,22042
14,2,24723
15,2,26580
16,2,26389
17,2,29454
18,2,30781
19,2,25736
20,2,24095
21,2,23899
22,2,18813
23,2,12520
0,3,8484
1,3,3171
2,3,1269
3,3,951
4,3,1397
5,3,3774
6,3,10181
7,3,22694
8,3,29782
9,3,29330
10,3,27438
11,3,28247
12,3,30708
13,3,31285
14,3,33898
15,3,35845
16,3,35030
17,3,41753
18,3,44943
19,3,38396
20,3,39468
21,3,42326
22,3,33952
23,3,20535
0,4,9724
1,4,3793
2,4,1913
3,4,1305
4,4,1522
5,4,3622
6,4,10323
7,4,23752
8,4,30722
9,4,29798
10,4,28251
11,4,29692
12,4,30993
13,4,32000
14,4,34560
15,4,37316
16,4,36805
17,4,42650
18,4,46114
19,4,39776
20,4,38469
21,4,41658
22,4,36104
23,4,23635
0,5,12523
1,5,5451
2,5,2698
3,5,1787
4,5,1995
5,5,4047
6,5,10478
7,5,22295
8,5,29332
9,5,29102
10,5,28330
11,5,28831
12,5,30923
13,5,32079
14,5,35387
15,5,36987
16,5,37011
17,5,42158
18,5,45494
19,5,40886
20,5,39958
21,5,41363
22,5,39371
23,5,30547
0,6,14682
1,6,7203
2,6,4056
3,6,2538
4,6,2255
5,6,3644
6,6,7910
7,6,15500
8,6,18384
9,6,19428
10,6,20683
11,6,22015
12,6,23416
13,6,24644
14,6,27748
15,6,29936
16,6,29213
17,6,31790
18,6,34282
19,6,31083
20,6,27627
21,6,28008
22,6,30110
23,6,29752
0,7,25705
1,7,20244
2,7,14559
3,7,9011
4,7,4749
5,7,2390
6,7,4140
7,7,6313
8,7,10578
9,7,15889
10,7,19747
11,7,22316
12,7,24708
13,7,25819
14,7,26299
15,7,28223
16,7,30360
17,7,32081
18,7,35325
19,7,35935
20,7,29037
21,7,29629
22,7,32948
23,7,32651
