pickup_hour,duracion_promedio_min
0,15.332651033254226
1,15.128979118439934
2,12.6737467137047
3,12.911953349497109
4,14.650243776091655
5,17.588285718195007
6,17.8074777515377
7,16.634061056767546
8,16.602241015284385
9,16.790655010288408
10,17.5972943763903
11,17.940794057426782
12,18.787757562766185
13,19.6348616033145
14,20.885518924174114
15,21.23528687009724
16,21.51674371969175
17,19.95995099535036
18,17.634189457348057
19,16.9694861134823
20,16.472838119685534
21,15.961769408435433
22,16.118054628393462
23,15.952375960386153
