pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,100298,15.509734216380664,81.72765741766433,27.518777100888425,15.332651033254221
1,69982,15.248785300070368,83.02938566254466,25.520095342667535,15.128979118439968
2,44503,10.931953090130195,77.35714897193677,20.759946464445306,12.673746713704684
3,29696,17.197093315816662,100.92297242264928,27.02205118084781,12.911953349497118
4,21878,33.420113512520835,134.3559973926197,45.26331561968044,14.650243776091676
5,24362,40.014199931367266,135.35276451080844,53.45032659971671,17.588285718194985
6,49966,26.119466859347114,106.64984123027416,37.51465887816066,17.80747775153766
7,97221,16.767319855650676,77.95694830144936,28.825739037531598,16.634061056767678
8,130722,13.129939819500983,69.7624613180496,25.704515862399244,16.60224101528428
9,144985,11.57733690514144,66.52335722134171,24.569832166260543,16.79065501028836
10,158534,11.726892979450962,69.20404237137184,25.08870572644518,17.59729437639043
11,171755,12.170062709996387,70.4434587819165,26.955241452065952,17.940794057426825
12,186605,14.267002980639456,78.3533968492633,29.464232477505014,18.787757562766256
13,193574,15.843338121431467,82.9172488283079,31.605697137607017,19.634861603314487
14,208807,16.84176897069272,83.3522159439979,33.79542407563634,20.88551892417395
15,219141,15.682588035877265,79.88808079568096,32.43001286973932,21.235286870097237
16,222574,16.465489884314316,82.8128805718366,33.29943342476913,21.516743719691615
17,239229,13.462732625456828,75.6268526415338,29.473245348090835,19.959950995350223
18,247433,11.41344190414964,70.28008141540609,26.169419799643588,17.63418945734809
19,216721,10.322901759382473,65.43688189451875,24.260906865679672,16.96948611348229
20,199456,10.086537564755671,64.39853311042529,23.630707985606,16.472838119685505
21,201184,8.761474615052277,57.92128553093665,21.90384134768001,15.961769408435412
22,185752,10.13321964179847,65.1337182085231,23.159333980683048,16.118054628393395
23,145471,11.233854302323381,67.30504510819915,23.927929631611814,15.952375960386126
