pickup_hour,tarifa_promedio
0,27.475723444136356
1,24.41434283101368
2,23.435021908635388
3,24.93414466594831
4,31.46847380930627
5,37.36003324850193
6,30.4785061842054
7,27.237598461237468
8,26.077044414864694
9,26.353090733523814
10,26.98174997161448
11,27.23353701493349
12,28.141823798932833
13,29.117734458139093
14,30.216810260191323
15,30.004177675559454
16,33.22895001212933
17,29.741033444941063
18,28.009284129440626
19,28.55601464555761
20,28.467822627545523
21,27.964193673451998
22,28.192663874412194
23,28.83460524778086
