pickup_hour,pickup_dow,total_viajes
0,1,27998
1,1,25328
2,1,14765
3,1,9659
4,1,5858
5,1,3665
6,1,4962
7,1,6646
8,1,9326
9,1,14669
10,1,19926
11,1,22837
12,1,26354
13,1,27430
14,1,27969
15,1,28191
16,1,29954
17,1,28935
18,1,27496
19,1,23388
20,1,20684
21,1,18719
22,1,15296
23,1,10924
0,2,5325
1,2,2168
2,2,1275
3,2,1016
4,2,1854
5,2,3598
6,2,7818
7,2,15612
8,2,20107
9,2,20145
10,2,20113
11,2,21213
12,2,22447
13,2,23516
14,2,25788
15,2,27353
16,2,26828
17,2,29593
18,2,29486
19,2,23983
20,2,22945
21,2,23168
22,2,17462
23,2,10408
0,3,5009
1,3,2203
2,3,1111
3,3,804
4,3,1460
5,3,3060
6,3,7568
7,3,16731
8,3,22961
9,3,22651
10,3,22593
11,3,22780
12,3,24489
13,3,24579
14,3,27137
15,3,28557
16,3,28490
17,3,31593
18,3,33377
19,3,27676
20,3,27127
21,3,27861
22,3,23021
23,3,14645
0,4,7086
1,4,2894
2,4,1542
3,4,1247
4,4,1459
5,4,3079
6,4,7632
7,4,16857
8,4,22220
9,4,23077
10,4,22753
11,4,24101
12,4,25393
13,4,25792
14,4,28994
15,4,30086
16,4,29883
17,4,32902
18,4,35180
19,4,29682
20,4,28388
21,4,29999
22,4,25706
23,4,15376
0,5,8195
1,5,4473
2,5,2725
3,5,1935
4,5,1929
5,5,3308
6,5,7792
7,5,16251
8,5,20924
9,5,21641
10,5,22254
11,5,23053
12,5,24002
13,5,25357
14,5,27983
15,5,29130
16,5,29499
17,5,32771
18,5,34876
19,5,31074
20,5,31180
21,5,32116
22,5,29209
23,5,21299
0,6,17641
1,6,10379
2,6,6565
3,6,4264
4,6,3601
5,6,4646
6,6,9372
7,6,17738
8,6,22838
9,6,23386
10,6,25644
11,6,27973
12,6,30371
13,6,32307
14,6,36028
15,6,37941
16,6,38336
17,6,41503
18,6,44468
19,6,39851
20,6,34680
21,6,34798
22,6,36556
23,6,34035
0,7,29044
1,7,22537
2,7,16520
3,7,10771
4,7,5717
5,7,3006
6,7,4822
7,7,7386
8,7,12346
9,7,19416
10,7,25251
11,7,29798
12,7,33549
13,7,34593
14,7,34908
15,7,37883
16,7,39584
17,7,41932
18,7,42550
19,7,41067
20,7,34452
21,7,34523
22,7,38502
23,7,38784
