pickup_hour,duracion_promedio_min
0,16.016237348737484
1,14.03908301245694
2,13.059382619636457
3,12.595094048098884
4,15.988853924855992
5,18.656463130282713
6,16.96757537831381
7,16.717627481167636
8,16.765932832048268
9,16.864802591110003
10,18.21138294804673
11,19.018469796349457
12,19.762871777867577
13,20.765879405302943
14,22.216601967233295
15,22.507265260596142
16,22.802228799046954
17,21.513669830606368
18,19.05741154137576
19,17.998163516388544
20,17.317054116502437
21,16.814915801747016
22,16.741753648704442
23,16.620326326019207
