pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,104041,5.283988050508705,38.88120180496052,16.280290736453633,16.016237348737587
1,62589,4.826271831364501,40.10333073546143,14.111602582443858,14.039083012456873
2,38415,4.933207627515821,44.773312419515776,13.141742303265984,13.059382619636411
3,24810,4.60784029506297,31.0744766037208,13.81749603053324,12.595094048098886
4,19385,6.8450128627374625,40.430770889741154,17.884009316397485,15.988853924855974
5,20586,8.100415216004098,39.113841587885155,23.06022722996722,18.65646313028271
6,43945,6.19209359728074,27.42464861684653,19.845601035317276,16.967575378313825
7,88987,5.9136874199358855,31.291443474888943,19.72967290926814,16.717627481167707
8,125278,5.06536151034139,31.50266839300069,19.219800405629357,16.765932832048183
9,140892,4.255230600593602,29.62110968448968,18.451776270028063,16.864802591110042
10,158367,4.27820009338787,39.30166067761161,18.804668641760628,18.21138294804682
11,176397,4.107397140554563,34.21895412280815,19.626528149092238,19.01846979634945
12,193014,4.181598777523779,34.13379988011639,20.22018023523116,19.76287177786757
13,199362,4.298660338794467,33.81471396508792,21.089845402049082,20.765879405302915
14,215870,4.493055695112831,34.76250419214091,22.302856339876442,22.216601967233274
15,226826,4.44143403767627,32.53183834646281,22.81905094294094,22.507265260596288
16,223850,4.280770737065075,32.193043694807066,22.986411081846327,22.80222879904693
17,235782,4.197461905154866,34.792978021874326,22.057385579851363,21.513669830606258
18,245482,3.6666982057880997,29.228431693746014,19.740061291962107,19.057411541375778
19,219187,4.975342160225887,32.76343292606091,18.653861632652127,17.998163516388576
20,205575,4.987519136701826,30.60953746471806,18.64111536920854,17.317054116502437
21,209268,5.0482063043761185,31.404875780215164,18.230667862311346,16.814915801747034
22,190844,6.001818681198459,34.72449697440424,19.02594029227461,16.74175364870442
23,149891,6.1077799349614095,33.97825079319688,18.646440675655896,16.62032632601912
