pickup_hour,tarifa_promedio
0,29.495872684806784
1,26.857790825864065
2,24.281394767668917
3,26.130338976219257
4,35.15247149858145
5,40.37972991353368
6,31.582248719991043
7,27.85513423309001
8,26.84877831702254
9,26.749365968258786
10,27.526003523460837
11,27.954583354591875
12,28.610007719646735
13,29.50787015579626
14,30.756558947513813
15,30.654195859380305
16,32.79856113468727
17,31.263506629004123
18,29.41088083851315
19,29.20125459082835
20,28.8909497750203
21,28.619540493528767
22,28.84273155037549
23,30.03369728669455
