pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
237,178631,1.7258582216972513,13.610670786892134,21.38420917981762
236,159424,5.417789416900836,13.259520942058154,21.369321369429738
161,154393,2.7796369006366843,18.298513749543897,26.888546695769588
132,151319,15.913602125311467,48.108186788616436,83.07814590366922
186,126838,2.445923855626863,19.750133109425605,27.060588861382165
162,123770,2.314292801163441,17.415876491341525,25.979491314534897
142,122702,2.896554986878781,14.906867315392812,23.127565157862048
230,118369,3.9940322212741552,20.710842084216864,31.20339717324588
138,112331,9.612085621956588,36.97297080354787,70.99101663832752
163,106512,2.495826291873219,18.342145955385266,27.069950240348447
239,104108,2.515873708072385,13.982792068492992,22.55010508318282
234,96598,2.038314147290836,16.31137100837148,24.040609018820245
170,95788,5.6064729402430435,16.81229590345345,25.63350795506727
68,93542,3.8417767419982543,19.41690898206154,27.51832438904442
48,90394,4.281427528375778,16.358975521974205,25.641114675752764
164,82458,3.3773026267918262,17.587075238303147,26.441631254699264
141,81782,1.9025948252671725,13.079828283322287,21.423472891345387
79,76485,5.0291933058769756,14.922916475997454,23.744305811597112
249,75239,5.426210210130372,15.513235378815068,23.747058440436497
107,72899,5.494074404312828,15.351077518210065,23.733796211196385
