pickup_hour,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
0,104041,16.016237348737484,36.17831791381027,29.495872684806784,22.350401532368686,7.65,12.466666666666667,19.85,16.32,22.2,33.12
1,62589,14.03908301245694,37.54090443128981,26.857790825864065,20.839047328322824,6.866666666666666,10.95,16.966666666666665,15.7,20.52,29.7
2,38415,13.059382619636457,42.78141360740263,24.281394767668917,16.576222699562255,6.466666666666667,10.133333333333333,15.45,15.48,19.68,27.5
3,24810,12.595094048098884,26.42380917189531,26.130338976219257,20.072528951966138,6.2,10.066666666666666,16.1,15.3,19.68,29.0
4,19385,15.988853924855992,36.69774286063633,35.15247149858145,28.23844694415242,6.883333333333334,12.283333333333333,20.55,16.32,23.88,43.7
5,20586,18.656463130282713,36.1806296188419,40.37972991353368,32.70615297871196,6.633333333333334,12.666666666666666,24.983333333333334,16.29,24.91,59.38
6,43945,16.96757537831381,24.981293166622045,31.582248719991043,27.945901797575818,6.383333333333334,10.6,19.8,14.3,19.84,35.64
7,88987,16.717627481167636,29.911220055194132,27.85513423309001,23.395445242463033,6.916666666666667,11.166666666666666,18.65,14.7,19.32,28.75
8,125278,16.765932832048268,30.83032156295673,26.84877831702254,21.398039763760337,7.416666666666667,12.2,19.833333333333332,14.88,19.6,28.56
9,140892,16.864802591110003,30.63035342942812,26.749365968258786,21.71766360818124,7.45,12.516666666666667,20.45,14.88,19.8,28.56
10,158367,18.21138294804673,40.76091515131304,27.526003523460837,22.628232753320027,7.766666666666667,13.183333333333334,21.816666666666666,15.1,20.16,29.5
11,176397,19.018469796349457,35.98809570648415,27.954583354591875,21.709082963180347,8.316666666666666,14.183333333333334,23.45,15.3,21.0,30.65
12,193014,19.762871777867577,35.924335863207595,28.610007719646735,22.410338119607264,8.466666666666667,14.683333333333334,24.45,15.4,21.0,31.5
13,199362,20.765879405302943,35.742255973000276,29.50787015579626,23.319676551798462,8.766666666666667,15.266666666666667,25.85,15.75,21.73,32.75
14,215870,22.216601967233295,37.6442013553965,30.756558947513813,25.630435628669055,9.016666666666667,15.783333333333333,27.1,15.96,21.84,33.6
15,226826,22.507265260596142,36.22865555361483,30.654195859380305,25.122983817134564,9.083333333333334,15.833333333333334,27.083333333333332,15.96,21.85,33.36
16,223850,22.802228799046954,35.97251321576373,32.79856113468727,25.626134566812922,9.0,15.866666666666667,27.8,17.64,24.0,35.76
17,235782,21.513669830606368,37.20018236538176,31.263506629004123,23.35615241383627,8.916666666666666,15.516666666666667,26.583333333333332,17.9,24.0,34.62
18,245482,19.05741154137576,31.081381764383238,29.41088083851315,20.654078684795117,8.5,14.45,24.033333333333335,17.5,23.16,32.6
19,219187,17.998163516388544,32.81600965622498,29.20125459082835,20.848522411028295,8.3,13.966666666666667,22.783333333333335,17.28,22.8,32.37
20,205575,17.317054116502437,29.655674139756414,28.8909497750203,21.125571974830923,8.3,13.866666666666667,22.15,16.5,22.2,31.92
21,209268,16.814915801747016,29.345551868276413,28.619540493528767,20.343341018900368,8.3,13.616666666666667,21.5,16.77,22.2,32.17
22,190844,16.741753648704442,30.826073035433566,28.84273155037549,20.455754645208025,8.266666666666667,13.55,21.35,17.0,22.3,32.75
23,149891,16.620326326019207,28.661000708951057,30.03369728669455,22.288014190579652,8.083333333333334,13.266666666666667,21.216666666666665,16.75,22.58,34.02
