pickup_hour,pickup_dow,total_viajes
0,1,27827
1,1,20179
2,1,14139
3,1,9731
4,1,6327
5,1,2892
6,1,4270
7,1,6305
8,1,10188
9,1,16742
10,1,23980
11,1,28630
12,1,32002
13,1,32355
14,1,33744
15,1,34128
16,1,35082
17,1,32801
18,1,30539
19,1,27331
20,1,23865
21,1,21542
22,1,17787
23,1,12878
0,2,7200
1,2,3580
2,2,1681
3,2,1294
4,2,2130
5,2,3910
6,2,8430
7,2,16600
8,2,22825
9,2,23598
10,2,24942
11,2,26765
12,2,29724
13,2,31591
14,2,34922
15,2,35788
16,2,33852
17,2,35391
18,2,34609
19,2,28299
20,2,26798
21,2,27871
22,2,22927
23,2,15397
0,3,8529
1,3,3778
2,3,1899
3,3,1184
4,3,1542
5,3,3149
6,3,7438
7,3,16113
8,3,23098
9,3,24146
10,3,24761
11,3,26953
12,3,29235
13,3,29945
14,3,32634
15,3,34240
16,3,34205
17,3,36397
18,3,37933
19,3,34304
20,3,38137
21,3,39499
22,3,33307
23,3,20363
0,4,8546
1,4,4111
2,4,1952
3,4,1311
4,4,1416
5,4,2632
6,4,6634
7,4,15319
8,4,20300
9,4,19783
10,4,19928
11,4,21452
12,4,23432
13,4,23366
14,4,25232
15,4,26458
16,4,26394
17,4,29455
18,4,34931
19,4,31595
20,4,29953
21,4,31988
22,4,27905
23,4,19688
0,5,10561
1,5,4671
2,5,2093
3,5,1421
4,5,1516
5,5,2847
6,5,7353
7,5,15697
8,5,21339
9,5,21608
10,5,22181
11,5,23539
12,5,25517
13,5,26116
14,5,28858
15,5,31079
16,5,31034
17,5,34017
18,5,36500
19,5,32369
20,5,31055
21,5,33709
22,5,31801
23,5,26072
0,6,17330
1,6,9474
2,6,4975
3,6,2853
4,6,2307
5,6,3024
6,6,6430
7,6,13628
8,6,18104
9,6,19769
10,6,21778
11,6,23796
12,6,25448
13,6,27390
14,6,31029
15,6,32977
16,6,30802
17,6,34116
18,6,36071
19,6,32551
20,6,28236
21,6,28228
22,6,29264
23,6,27846
0,7,24048
1,7,16796
2,7,11676
3,7,7016
4,7,4147
5,7,2132
6,7,3390
7,7,5325
8,7,9424
9,7,15246
10,7,20797
11,7,25262
12,7,27656
13,7,28599
14,7,29451
15,7,32156
16,7,32481
17,7,33605
18,7,34899
19,7,32738
20,7,27531
21,7,26431
22,7,27853
23,7,27647
